id,question_text,chapter,class_level,semester,difficulty,marks,answer
1,"যদি A = {1, 3, 5} এবং B = {3, 5, 7} হয়, তবে A ∪ B নির্ণয় কর।",Sets,11,1,Easy,1,"A ∪ B = {1, 3, 5, 7}"
2,"যদি একটি সেটে 5টি পদ থাকে, তবে তার উপসেট (subset) সংখ্যা কত?",Sets,11,1,Easy,1,"$2^5 = 32$"
3,"যদি A = {x : x একটি স্বাভাবিক সংখ্যা এবং x < 4} এবং B = {x : x একটি পূর্ণসংখ্যা এবং 2 < x < 5} হয়, তবে A ∩ B নির্ণয় কর।",Sets,11,1,Medium,2,"A = {1, 2, 3}, B = {3, 4}. সুতরাং A ∩ B = {3}"
4,"ভেন চিত্রের সাহায্যে প্রমাণ কর: (A ∪ B)' = A' ∩ B' (ডি মরগানের সূত্র)।",Sets,11,1,Medium,4,"চিত্র এঁকে প্রমাণ করতে হবে যে A এবং B-এর ইউনিয়নের বাইরের অংশ, A-এর বাইরের অংশ এবং B-এর বাইরের অংশের ইন্টারসেকশনের সমান।"
5,"একটি পরীক্ষায় 60% ছাত্র ইংরেজিতে এবং 70% ছাত্র গণিতে পাশ করে। যদি 20% ছাত্র উভয় বিষয়ে ফেল করে, তবে শতকরা কতজন ছাত্র উভয় বিষয়ে পাশ করেছে?",Sets,11,1,Hard,4,"ধরি, E = ইংরেজি, M = গণিত। P(E')=40%, P(M')=30%, P(E'∩M')=20%। P(E∪M)' = 20% ⇒ P(E∪M)=80%। P(E∩M) = P(E)+P(M)-P(E∪M) = 60+70-80 = 50%।"
6,"যদি f(x) = 2x - 5 হয়, তবে f(0) + f(5) -এর মান নির্ণয় কর।",Relations and Functions,11,1,Easy,1,"f(0) = -5, f(5) = 5. সুতরাং, -5 + 5 = 0।"
7,"f(x) = √(9 - x²) অপেক্ষকটির ক্ষেত্র (domain) নির্ণয় কর।",Relations and Functions,11,1,Medium,2,"9 - x² ≥ 0 ⇒ x² ≤ 9 ⇒ -3 ≤ x ≤ 3। ক্ষেত্র হল [-3, 3]।"
8,"যদি f(x) = [x] (greatest integer function) এবং g(x) = |x| হয়, তবে (g o f)(-5/3) -এর মান নির্ণয় কর।",Relations and Functions,11,1,Medium,2,"f(-5/3) = [-1.66] = -2. g(f(-5/3)) = g(-2) = |-2| = 2।"
9,"প্রমাণ কর: sin²(π/6) + cos²(π/3) - tan²(π/4) = -1/2",Trigonometric Functions,11,1,Easy,2,"(1/2)² + (1/2)² - (1)² = 1/4 + 1/4 - 1 = 1/2 - 1 = -1/2।"
10,"cot(x) = -5/12 এবং x দ্বিতীয় পাদে অবস্থিত হলে, অন্য 5টি ত্রিকোণমিতিক অপেক্ষকের মান নির্ণয় কর।",Trigonometric Functions,11,1,Medium,4,"sin(x)=12/13, cos(x)=-5/13, tan(x)=-12/5, cosec(x)=13/12, sec(x)=-13/5"
11,"সমাধান কর: 2cos²(x) + 3sin(x) = 0",Trigonometric Functions,11,1,Hard,5,"2(1-sin²(x)) + 3sin(x) = 0 ⇒ 2sin²(x) - 3sin(x) - 2 = 0। সমাধান করে পাই sin(x) = -1/2। সুতরাং, x = nπ + (-1)ⁿ(-π/6)।"
12,"গাণিতিক আরোহ নীতির (Principle of Mathematical Induction) সাহায্যে প্রমাণ কর যে, সকল n ∈ N -এর জন্য, 1 + 2 + ... + n = n(n+1)/2।",Principle of Mathematical Induction,11,1,Medium,5,"n=1 এর জন্য প্রমাণ করতে হবে। n=k এর জন্য সত্য ধরে n=k+1 এর জন্য প্রমাণ করতে হবে।"
13,"(1+i)/(1-i) জটিল রাশিটিকে a+ib আকারে প্রকাশ কর।",Complex Numbers,11,1,Easy,2,"(1+i)² / ((1-i)(1+i)) = (1+2i-1)/2 = 2i/2 = i. সুতরাং, 0+1i।"
14,"-16 -এর বর্গমূল নির্ণয় কর।",Complex Numbers,11,1,Easy,1,"±√(-16) = ±√(16 * i²) = ±4i"
15,"যদি z = x+iy হয় এবং |2z-1| = |z-2| হয়, তবে দেখাও যে x²+y²=1।",Complex Numbers,11,1,Hard,4,"|2(x+iy)-1| = |(x+iy)-2| ⇒ |(2x-1)+2iy| = |(x-2)+iy|। বর্গ করে সরল করলে x²+y²=1 পাওয়া যায়।"
16,"সমাধান কর: 7x + 3 < 5x + 9 এবং প্রাপ্ত সমাধানটি সংখ্যারেখায় দেখাও।",Linear Inequalities,11,1,Easy,2,"2x < 6 ⇒ x < 3. সমাধান হল (-∞, 3)।"
17,"'ALLAHABAD' শব্দটির অক্ষরগুলি কত রকমে সাজানো যায়?",Permutations and Combinations,11,2,Easy,2,"মোট 9টি অক্ষর, যার মধ্যে A=4, L=2। সাজানোর উপায় = 9! / (4! * 2!) = 7560।"
18,"যদি nC8 = nC2 হয়, তবে nC3 -এর মান নির্ণয় কর।",Permutations and Combinations,11,2,Easy,2,"nC8 = nC2 ⇒ n = 8+2 = 10. nC3 = 10C3 = (10*9*8)/(3*2*1) = 120।"
19,"5 জন পুরুষ এবং 4 জন মহিলার মধ্য থেকে 3 জন পুরুষ ও 3 জন মহিলা নিয়ে কতগুলি কমিটি গঠন করা যায়?",Permutations and Combinations,11,2,Medium,4,"উপায় সংখ্যা = (5C3) * (4C3) = 10 * 4 = 40।"
